run,luminosityBlock,event,PV_npvs,PV_x,PV_y,PV_z,nMuon,Muon_pt,Muon_eta,Muon_phi,Muon_mass,Muon_charge,Muon_pfRelIso03_all,Muon_pfRelIso04_all,Muon_dxy,Muon_dxyErr,Muon_dz,Muon_dzErr,nElectron,Electron_pt,Electron_eta,Electron_phi,Electron_mass,Electron_charge,Electron_pfRelIso03_all,Electron_dxy,Electron_dxyErr,Electron_dz,Electron_dzErr,MET_pt,MET_phi
194533,681,873825341.0,18,0.07125718891620636,0.05962163209915161,2.9814531803131104,0,[],[],[],[],[],[],[],[],[],[],[],4,"[21.3, 50.1, 12.8, 9.52]","[-1.61, -1.17, -2.2, -2]","[-1.82, 0.434, 2.65, -0.937]","[0.0138, 0.025, 0.00208, 0.0026]","[1, 1, -1, -1]","[0.019, 0.0145, 0.0206, 0.156]","[-0.0011, 0.00427, -0.00895, -0.0671]","[0.00411, 0.00326, 0.0136, 0.0177]","[-0.00221, 0.00162, 0.00536, 0.0217]","[0.0049, 0.00326, 0.0119, 0.0122]",44.491477966308594,-1.8084625005722046
195378,458,579338428.0,8,0.07792656123638153,0.06068415567278862,-0.4737972617149353,0,[],[],[],[],[],[],[],[],[],[],[],4,"[59.3, 20.6, 78.4, 30]","[0.525, 1.13, 1.39, 0.988]","[-2.7, 1.92, 0.43, -1.78]","[-0.0115, 0.00725, -0.0537, 0.0178]","[1, -1, 1, -1]","[0, 0.129, 0.0112, 0.165]","[-0.00412, -0.00246, 0.0059, 0.103]","[0.00195, 0.00254, 0.00425, 0.0494]","[-0.00482, -0.00486, -0.00446, -0.0324]","[0.00212, 0.00362, 0.00391, 0.0165]",11.934086799621582,-1.73517906665802
195656,85,78300349.0,13,0.07153920084238052,0.061082374304533005,1.749451756477356,1,[12.6],[-1.08],[-1.82],[0.106],[1],[-999],[-999],[-999],[-999],[-999],[-999],4,"[36.1, 46.4, 54.4, 79.2]","[-0.314, 0.811, 0.257, -0.413]","[-2.26, -0.386, -2.66, 1.81]","[-0.0144, -0.0134, -0.0161, 0.0181]","[1, -1, 1, -1]","[0.154, 0.0958, 0.103, 0.0796]","[0.00159, -0.004, -0.00375, -0.00122]","[0.00232, 0.00256, 0.00181, 0.00135]","[-0.000745, 0.00045, 0.00766, 0.000823]","[0.00125, 0.0027, 0.00447, 0.0018]",34.48357391357422,-2.4892165660858154
194119,190,168130224.0,10,0.07020439207553864,0.058708928525447845,-4.36512565612793,0,[],[],[],[],[],[],[],[],[],[],[],4,"[26.7, 57.5, 50.1, 41.3]","[-2.02, -0.554, -1.02, -1.68]","[-1.27, 1.32, 1.64, -2.18]","[0.0109, 0.0243, 0.0108, 0.0383]","[1, -1, -1, 1]","[0.0333, 0.0238, 0.0274, 0.0392]","[0.00431, -0.000375, -0.0015, 0.00937]","[0.00398, 0.00157, 0.00199, 0.00242]","[0.00193, 0.000511, 0.000985, -0.000501]","[0.00629, 0.00185, 0.00214, 0.00456]",13.359871864318848,-2.9779741764068604
194153,100,93572313.0,5,0.0696369931101799,0.0634361207485199,-5.211184978485107,0,[],[],[],[],[],[],[],[],[],[],[],4,"[38.3, 50.1, 71, 33.4]","[-1.41, -0.592, -0.27, -0.257]","[0.48, 2.61, -2.31, 1.76]","[-0.0213, 0.0107, -0.0191, -0.00485]","[-1, 1, -1, 1]","[0.0467, 0.0897, 0.047, 0.131]","[-0.00213, 0.000534, 0.00896, -0.00149]","[0.00267, 0.00149, 0.00288, 0.00332]","[-0.00307, -0.00427, 0.00264, 0.000825]","[0.00452, 0.00242, 0.00211, 0.00143]",5.346667289733887,2.5662271976470947
194479,345,402600389.0,12,0.07247713208198547,0.061876557767391205,4.169948101043701,0,[],[],[],[],[],[],[],[],[],[],[],4,"[67.1, 17.4, 12.8, 42.7]","[1.02, -0.717, -0.285, -1.16]","[1.92, -0.878, 1.49, -1.2]","[0.0278, 0.00316, 0.00442, 0.0185]","[1, -1, -1, 1]","[0.00455, 0.0633, 0.211, 0.0972]","[0.00114, -0.00126, 0.00318, 0.00651]","[0.00155, 0.0028, 0.0031, 0.00315]","[-0.00191, 0.00412, -0.000971, 0.0111]","[0.00297, 0.00268, 0.00193, 0.00389]",22.84459114074707,-0.5568371415138245
196531,350,497827501.0,16,0.06949757784605026,0.06586592644453049,-7.475704669952393,0,[],[],[],[],[],[],[],[],[],[],[],4,"[15.9, 24.8, 14.2, 11.7]","[1.26, -0.702, 0.0497, -0.889]","[-2.73, -0.329, 0.623, 0.649]","[-0.00824, -0.00868, -0.00354, -0.0054]","[1, -1, 1, -1]","[0.293, 0.1, 0.195, 0.155]","[0.00379, -0.0026, 0.000686, 0.00714]","[0.00671, 0.003, 0.00374, 0.00389]","[0.00977, -0.00181, -0.00401, 0.000421]","[0.0045, 0.00233, 0.00429, 0.00359]",20.33930015563965,0.47266659140586853
194480,122,109881951.0,16,0.07209650427103043,0.06430868059396744,7.587046146392822,0,[],[],[],[],[],[],[],[],[],[],[],4,"[50.2, 43.7, 21.3, 44]","[0.476, 0.64, -1.15, 0.685]","[0.705, -2.92, 1.19, -1.46]","[-0.0116, -0.00263, -0.0115, 0.0115]","[1, -1, 1, -1]","[0.179, 0.128, 0.171, 0.00971]","[0.00223, -0.00282, 0.00363, -0.00131]","[0.00258, 0.00249, 0.00195, 0.00226]","[-0.0135, 0.00277, 0.000875, -0.0005]","[0.00309, 0.00268, 0.00315, 0.00251]",33.604732513427734,-0.434116005897522
194912,735,1149504856.0,9,0.07204673439264297,0.06358610838651657,0.4198283851146698,0,[],[],[],[],[],[],[],[],[],[],[],4,"[52.1, 21.6, 13, 22.1]","[0.298, 0.395, -0.297, 1.64]","[1.76, -1.05, -1.46, 0.501]","[0.0149, 0.0072, 0.00478, -0.0189]","[-1, 1, 1, -1]","[0.0658, 0.133, 0.333, 0.106]","[-0.0025, -0.00266, 0.00197, 0.15]","[0.00245, 0.00257, 0.00499, 0.198]","[-0.00122, 0.00632, -0.00658, 0.12]","[0.00208, 0.00325, 0.00219, 0.174]",12.428425788879395,-2.3572423458099365
195304,962,1069824602.0,13,0.07267101109027863,0.06456610560417175,-2.572178363800049,0,[],[],[],[],[],[],[],[],[],[],[],4,"[22, 53.5, 40.8, 58.6]","[-0.8, 0.654, 2.23, 1.36]","[-3.02, 0.366, -0.308, 1.71]","[-0.00434, 0.022, 0.0628, 0.0204]","[1, -1, -1, 1]","[0.234, 0.028, 0.144, 0.0495]","[0.000138, -0.00242, -0.00326, 0.000703]","[0.00396, 0.00275, 0.0051, 0.0019]","[-0.00255, 0.00942, -0.00103, -0.00219]","[0.00396, 0.00239, 0.00622, 0.00356]",24.325714111328125,-2.20841908454895
